,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
61,BRKB,PXD,NLOK,ABBV,BMY,AMT,EQR,XOM,CVS,KLAC,PWR,ABT,FISV,PTC,DFS
62,PHM,EMN,MS,SJM,ROP,CLX,MKTX,LUMN,AES,MLM,WRB,IQV,AMAT,MPWR,AVGO
63,NSC,FANG,CFG,IVZ,HLT,VNO,GL,ADBE,JKHY,MCHP,MTB,BWA,AVY,FIS,MO
64,MPC,LOW,HCA,TSLA,NRG,CPB,KEY,ORLY,LYB,CMA,CARR,CVX,VNO,STZ,CDAY
65,CHTR,FCX,TECH,XRAY,MO,CVS,URI,WYNN,NDAQ,JNPR,FTNT,PNR,JCI,TDG,BLK
66,ALB,MSI,TJX,F,FLT,SPG,BFB,COST,CZR,SWK,EFX,MCO,ANSS,PTC,ZBRA
67,VMC,DLTR,IP,VMC,ULTA,WEC,NWS,VTR,COF,SPGI,NKE,INTC,O,TMO,ACN
68,TSCO,ROP,DOV,NWS,MCO,GL,CPB,STT,PVH,EA,USD,APD,SPG,FDX,MLM
69,MCK,MKTX,TDY,APD,MPWR,CMG,SO,FFIV,DLTR,GD,ILMN,CNC,KMB,HLT,TPR
70,OKE,GIS,STZ,ANET,STX,DIS,TSCO,BIIB,GM,CAT,PTC,ANET,CHTR,DUK,AEE
71,VNO,CZR,KMI,NWSA,AOS,CPT,NWS,EMN,TYL,EIX,RF,PSA,SYF,HAL,EVRG
72,BMY,KMX,WTW,ADI,FRT,NUE,IEX,BK,CARR,HRL,EFX,MOS,TSN,MDT,CTAS
73,VNO,WYNN,HPE,AMT,WM,CNP,PEP,UA,WY,DIS,BMY,BXP,DPZ,SWKS,SYK
74,KHC,CPT,CPB,ICE,UAA,MAS,XEL,APD,NUE,ANSS,MRO,CEG,FFIV,VZ,RL
75,FFIV,APA,IR,NXPI,ETSY,ANET,CPRT,NKE,ALB,KMX,MDT,VRSK,L,DHI,WFC
76,ACN,AAP,AMGN,ANSS,HST,SHW,LEN,PSA,AWK,AMAT,DHR,CTSH,WHR,BWA,MA
77,HPE,ABMD,TRMB,CRL,MCD,BKR,PHM,COP,NEM,LUV,KMI,ADSK,CMI,TJX,CBOE
78,HAS,LLY,REGN,PHM,SWKS,ZION,CARR,RSG,IBM,JKHY,TYL,IBM,DE,ABBV,FDX
79,MCD,QRVO,JKHY,AAL,STX,PVH,CBRE,CE,GS,GLW,HRL,GLW,LUV,FDX,CVX
80,WBA,AWK,AWK,WEC,GPC,TSCO,ROK,CAH,WMB,JNPR,MPC,WY,FOXA,MNST,INTU
81,CTLT,WRB,MRK,HD,BK,TMO,DPZ,QCOM,SYF,GD,PEG,PARA,COF,ZTS,WYNN
82,DPZ,ES,BLK,VRSK,WM,JKHY,NXPI,TSCO,AMCR,EVRG,HLT,BKNG,QRVO,ALK,MRO
83,APA,SNA,IRM,CRL,MRO,ABT,IDXX,PFE,DIS,AOS,AVY,FE,AAPL,AFL,ETR
84,LYV,LYV,NRG,PNR,STX,DPZ,SIVB,EMR,ESS,ETN,XEL,EVRG,JNJ,ALL,BAX
85,NVR,NTRS,C,QRVO,EQIX,DOV,FDS,MU,MHK,RE,DXCM,SHW,BSX,CTVA,COF
86,NCLH,ABBV,HUM,EQR,OGN,AME,PRU,APA,ODFL,FB,OMC,CAG,FCX,CCI,LOW
87,TRMB,WAT,KR,BIIB,TPR,ABMD,MPC,PAYX,KHC,CE,WBA,VTRS,JKHY,PG,HII
88,DXC,ALK,NVDA,LNC,PSA,MOH,TSN,GLW,AWK,PAYX,FTNT,ZBRA,EPAM,TXN,VMC
89,SO,ALLE,ISRG,MDT,MLM,CNC,KEYS,SEDG,CRL,IRM,TER,VRSK,XYL,EA,ITW
90,PSX,NI,IRM,IT,FITB,MDT,EQIX,LYB,AMGN,ZBH,FANG,PH,CHD,HUM,LMT
91,GOOGL,D,ESS,COST,HD,J,TJX,AAP,AIZ,HD,HST,MMM,BIIB,LIN,CBOE
92,QCOM,ZION,CDNS,AMAT,LIN,REGN,CMG,TDY,BRKB,ITW,DG,IP,MOS,PARA,CTVA
93,SJM,DG,ANET,ABC,TER,ROL,KHC,LYV,OXY,ULTA,NRG,STZ,NEE,MNST,CMI
94,KIM,NEE,XYL,CZR,ANSS,ESS,WDC,LMT,EQIX,AMGN,AMP,LW,MMC,BXP,KMB
95,UA,MKTX,MTCH,PM,LLY,ALB,HWM,ROST,CPT,GOOGL,FITB,XTSLA,CNP,HPQ,EQR
96,NWSA,FMC,ZBRA,KMX,ZTS,CAT,UBFUT,L,WELL,UAA,VRSK,TWTR,ABT,BFB,CTRA
97,RCL,VFC,CHD,LVS,NVR,CLX,ULTA,GS,TSN,UAA,IDXX,CDNS,AAP,RTX,AOS
98,ETR,HON,LOW,MKTX,DAL,XYL,MCHP,MTCH,TWTR,GS,WY,ALK,EQR,ROP,JNJ
99,FMC,DLTR,CDW,JNPR,CSCO,CRL,NWS,DG,INTU,CHD,NWS,TER,SCHW,TXN,IEX
100,WAT,CHRW,URI,UBFUT,EW,CSCO,GILD,NFLX,QCOM,FCX,NI,CMA,AWK,AON,RSG
101,MCK,ADBE,BA,PYPL,RJF,ODFL,PENN,SO,TDY,DRE,HST,DHI,SLB,NLSN,WMB
102,LH,RE,REGN,NRG,WBD,HRL,SPG,DHR,COP,O,NWSA,CCL,ETSY,EXPD,DISH
103,RE,TAP,CMS,CSCO,CTRA,DOV,SPG,FFIV,FMC,CBOE,DHI,PGR,HUM,QCOM,CNP
104,DPZ,SLB,EMN,WDC,WM,VTR,WMT,TSLA,PNW,SLB,WHR,JNJ,ALLE,JPM,FBHS
105,QRVO,DTE,ORLY,SIVB,PYPL,SBAC,PLD,GD,ZTS,BSX,PARA,LYV,HLT,ROST,NLSN
106,PPG,PNC,MOH,RF,OMC,FFIV,TXN,AIG,DRE,SPG,VRSN,ORLY,HD,CMI,EMR
107,FTV,UBFUT,MS,WHR,GE,SPGI,JBHT,ULTA,MAR,SBUX,ADI,RHI,PSA,ISRG,GPN
108,GM,ITW,MTB,ABMD,EL,TRV,NVDA,PCAR,CRL,EFX,REGN,MAS,POOL,ATO,CMG
109,MCK,NI,CNP,MSI,BSX,LRCX,RL,HBAN,TT,INTU,APD,CAH,ARE,GD,NTRS
110,FDX,T,SHW,HIG,TTWO,ZBRA,ROK,DRE,LYB,ANTM,CL,CMS,SYF,EMR,CMS
111,FMC,HCA,ISRG,CTSH,TAP,ULTA,KO,FOX,CDAY,RF,FTV,ANTM,CF,MKC,YUM
112,BKNG,PGR,F,LVS,WY,AES,MOH,ULTA,PARA,USD,WMT,DFS,EXC,ATVI,NWSA
113,MSFT,TYL,SYK,MSI,RHI,EQIX,TXT,BSX,YUM,MOS,PYPL,FCX,TT,HCA,TTWO
114,SBAC,RTX,DHR,PKG,TTWO,ODFL,ORLY,VTRS,BIO,NLOK,CF,TMUS,NOC,ED,SBUX
115,BLL,HST,MOH,FBHS,HII,DUK,CMCSA,EXC,CPB,BAC,LDOS,NEM,CTLT,DHR,PKI
116,LUV,ANTM,ETR,SCHW,OGN,FBHS,ICE,FAST,WMT,TXN,EQIX,MCO,JNJ,IQV,DVA
117,LDOS,USB,CRM,MKTX,HPE,TT,LOW,FISV,FE,REG,COO,NUE,PGR,TYL,CPRT
118,ABC,SNA,CBOE,HPQ,ARE,CARR,ABT,ECL,FBHS,SCHW,MCO,CTRA,DVN,GE,PEG
119,FBHS,EMN,WFC,RMD,MAS,MA,BXP,MRNA,LRCX,ISRG,SWK,MRNA,NCLH,TSLA,ADP
120,NKE,GOOGL,MTB,HWM,DPZ,KEY,ETN,DTE,VRTX,ZBRA,ORCL,IFF,PLD,EFX,BR
121,BK,TAP,DVA,TXT,CDW,OMC,WAT,WHR,FRT,NWL,CVS,EW,SYK,BAX,RHI
122,TSLA,ODFL,ANSS,ORCL,UHS,HST,BAC,NI,RE,CI,LOW,OMC,AZO,REGN,MA
123,DUK,T,AKAM,AZO,MET,MPWR,NEE,TECH,WMT,CPRT,LKQ,QCOM,USD,VRTX,NI
124,MET,WHR,DAL,BKNG,STE,SJM,PXD,BKR,MDLZ,ENPH,AEP,UBFUT,MPC,GRMN,JBHT
125,NDAQ,ADSK,PCAR,TER,PNR,TWTR,MKTX,TAP,AME,GRMN,AKAM,BIIB,CTXS,AVGO,HON
126,FDS,PAYX,TGT,WY,EQR,DAL,ZBH,HLT,URI,CTXS,ZBRA,SEDG,ITW,FITB,VTR
127,BEN,JBHT,VRTX,GILD,TFC,ORCL,ICE,MRK,CTXS,LLY,SEDG,CSX,VMC,BFB,AES
128,WM,PH,ETN,LNT,BAC,BMY,CLX,CTVA,AXP,EPAM,XYL,ADBE,MO,CSX,HOLX
129,ENPH,TTWO,MSFT,DLTR,NTRS,VRTX,CNC,CFG,ANTM,CMA,NTRS,WAB,ETN,WELL,CL
130,NLOK,IFF,PARA,BRKB,PSX,CMI,CPB,SPGI,AKAM,CAT,PRU,ATVI,CINF,NEM,VTR
131,L,AON,MGM,PCAR,CINF,NKE,USD,GIS,FOX,MCHP,CHTR,KLAC,GPN,UA,HSIC
132,SYK,WDC,FRC,MTD,CHD,TSN,EVRG,PKG,WYNN,MKC,DE,DTE,CRL,QCOM,SPG
133,JCI,BFB,GPC,MSI,MTB,GILD,PFE,NWSA,ROP,WAB,JCI,USD,MOH,AOS,USB
134,WTW,QRVO,GOOG,CMCSA,MHK,DAL,D,USB,LUMN,SBUX,STZ,ANET,LUMN,EXPD,IEX
135,EL,LH,CMA,GD,PEG,WTW,TFC,NTAP,AMCR,MRO,BDX,FDX,HSIC,LW,TECH
136,LMT,CI,JPM,LRCX,CPRT,AWK,LH,HES,HSIC,KMX,TYL,DHR,NSC,UNH,AVY
137,ULTA,AMD,HRL,ABMD,UBFUT,TGT,FB,DHI,AEE,ZBRA,BKNG,CSCO,PEP,FE,LNC
138,NI,VLO,PCAR,DFS,SRE,IR,AMCR,CMI,SLB,CAT,LNT,ZBH,CPT,WYNN,EQR
139,BBWI,PFG,CNC,ABC,TSN,DFS,KMI,CNC,PEAK,OKE,JPM,ZBH,MU,FLT,BRKB
140,URI,SBAC,CDW,MRO,DGX,COST,MPWR,JNJ,MU,LW,PEG,V,UBFUT,BDX,RJF
141,NOW,FCX,OXY,GNRC,BBWI,STX,HAS,NLOK,MKTX,PSX,FIS,WY,PH,TWTR,IEX
142,DHR,WBA,CDW,APH,HOLX,NVDA,GD,FB,LEN,BSX,MLM,UAA,SJM,SHW,HAL
143,COF,FISV,VRTX,HLT,CBOE,FITB,CE,AAL,DVN,SYF,DFS,EXPD,RF,BRKB,ROK
144,EXR,LVS,CNC,HAL,SEDG,DRE,SBUX,LUV,JBHT,NCLH,DVA,CMS,PEG,ESS,ED
145,MKTX,TDG,CL,WHR,AZO,CFG,FCX,AMP,FOXA,L,AAPL,CI,CF,PPG,HOLX
146,UPS,NEE,IP,NEE,EVRG,DLR,ODFL,CTVA,FB,PNR,AFL,HWM,BAC,BKR,AME
147,FTNT,UBFUT,TECH,TJX,CERN,BSX,CTXS,COP,SNPS,ETSY,TFX,WBD,NXPI,STZ,HUM
148,MA,PNR,PEAK,VRSK,HRL,TTWO,FRC,AIZ,MMC,V,ADSK,GNRC,AZO,HPQ,NDSN
149,FIS,HES,BKR,LHX,AVGO,APD,SEDG,KHC,DUK,NTAP,SPG,WBA,BAX,IT,GD
150,YUM,HES,WELL,NOW,NFLX,ACN,CMG,PYPL,MHK,KR,ORLY,IBM,ORLY,CL,LYB
151,CRM,MSCI,FLT,AMAT,SBAC,LOW,SNA,CAH,KMI,TAP,AON,DLTR,GM,GS,IP
152,KMB,SCHW,STZ,HII,DLTR,IPGP,AMCR,ATVI,OGN,AMZN,SWKS,JKHY,APH,TJX,UNP
153,TDG,RCL,TDY,TECH,GL,BDX,ORLY,MTD,MKTX,CBOE,WFC,ARE,HWM,ALB,K
154,USB,LOW,CAT,PWR,PSX,CARR,CINF,FOXA,UHS,AJG,STZ,CPB,EPAM,LNC,TROW
155,HPE,UNH,VRSK,AWK,O,AOS,EQR,NWSA,PCAR,ODFL,MRK,FOX,GL,CB,KHC
156,GOOGL,NLSN,INTC,HSIC,EIX,CL,SLB,IPGP,BLL,SEDG,DLTR,BMY,FITB,UBFUT,ALK
157,GOOGL,BWA,AON,NVR,QRVO,ETR,HWM,OMC,ADSK,CCI,BA,VTR,NSC,UNP,OXY
158,CDNS,UHS,NLOK,BLL,MAA,SWKS,CMA,CHTR,OTIS,COST,DAL,HSIC,SLB,BDX,REG
159,HIG,LH,DXC,JKHY,SNPS,OGN,EA,PNW,CPB,KHC,ROL,NOC,FISV,DG,TRV
160,C,STT,XRAY,DTE,CARR,FTV,PKI,NVDA,ILMN,WDC,PGR,TFX,DG,TDY,MKTX
161,CB,PRU,MCD,MRK,AON,LNC,AVY,ZBRA,ODFL,NDSN,HUM,CAT,CCL,LMT,EBAY
162,SEDG,DVA,ODFL,FFIV,DOW,TPR,UHS,JNPR,BDX,WHR,ICE,WMB,APH,WY,DLR
163,CL,TT,NXPI,ADP,GD,CRL,DXCM,PENN,IQV,T,ABC,GM,CPT,POOL,PXD
164,KMI,ES,ANSS,HLT,FE,AMCR,BXP,NTAP,NEE,DLR,WEC,ZION,BKNG,BBY,DG
165,V,FAST,CTRA,AFL,LW,MSCI,WRB,PPG,WHR,SWK,ETR,USB,BDX,FDS,CME
166,IP,EXC,BA,FISV,SBAC,AZO,TJX,CTRA,BDX,WMB,UAA,MPWR,URI,V,PEG
167,AOS,DHR,DXC,MTB,ADM,MCHP,SO,PWR,EVRG,BBWI,PNW,GOOG,AMCR,ABMD,WBA
168,PSX,EXPD,MCO,CTSH,ROL,CMG,RCL,PNC,AME,OXY,AKAM,ES,WAT,HII,IFF
169,DHI,MMM,CE,ALK,CE,COP,MTB,POOL,TT,ECL,SLB,DHR,FANG,NUE,IQV
170,LUV,TJX,WMT,TPR,SIVB,ADM,LEN,TDY,PFG,MMM,BEN,PH,TTWO,PSA,HES
171,CHTR,WM,LW,APD,V,NVDA,NEE,GRMN,JKHY,COP,LEN,AMZN,FANG,NOW,EBAY
172,VRTX,TTWO,MA,ADP,SNPS,NWSA,A,PEG,ZBRA,ETR,TFC,ETSY,UBFUT,GE,NUE
173,AAP,CAG,MRK,IPG,NSC,ITW,AVY,CMA,PGR,LIN,CAT,TSCO,CLX,LNC,CE
174,REG,CHTR,T,AXP,CHD,ABMD,WDC,WELL,ETR,AWK,CDNS,ALLE,XEL,DD,PVH
175,ICE,JNPR,DGX,APA,IBM,AVY,VMC,EW,WELL,ISRG,STE,CF,AJG,NEE,WY
176,ROK,UA,FIS,WHR,CHRW,ENPH,MDT,HOLX,AMZN,DVA,SBAC,MA,MDLZ,AKAM,PGR
177,PKG,DOW,WMB,TMO,KO,HAL,MU,CAG,FRT,MPC,LMT,DXCM,BK,FANG,USB
178,NSC,ACN,PNC,ZTS,CMG,MTB,HAL,AMT,WMB,ATVI,KEYS,DHR,ILMN,MSCI,CZR
179,PVH,USD,BIIB,NFLX,ABBV,TSLA,PRU,LW,IP,BBWI,MCK,LVS,FANG,UNH,BFB
180,LKQ,APA,CAT,ALGN,MCO,CVX,APH,NSC,TTWO,BBWI,WAT,STX,WELL,CTSH,AMGN
181,AIG,HPE,EIX,EOG,JCI,HIG,F,VRSN,FITB,CAG,FIS,DXC,VFC,DPZ,AKAM
182,FLT,DGX,CBOE,TTWO,LRCX,CMCSA,KMX,BIO,PNR,FLT,SEDG,PEP,ORLY,DUK,NFLX
183,MKC,EQR,FE,AOS,MDLZ,HON,TMUS,DPZ,AVY,PTC,PAYC,CTSH,DIS,HOLX,BIO
184,TECH,SBNY,C,CNC,GWW,ANSS,BEN,SBUX,AXP,COO,DUK,ALL,HIG,MO,HAL
185,LEN,SRE,LNC,SO,AME,HPQ,FFIV,WELL,HCA,BIIB,PSX,ROL,RJF,PTC,HWM
186,HUM,CTVA,NLSN,MET,INTC,NRG,D,PENN,ANTM,FTV,ANET,FRC,LUMN,NLOK,FTNT
187,STT,LYB,REGN,OGN,JNJ,J,GE,CDAY,APTV,BAC,NWS,TT,CNP,CME,BFB
188,TTWO,MDLZ,PYPL,MCK,WRB,STE,INTC,CNC,EFX,ZBRA,KMI,EL,ES,NKE,CHTR
189,PARA,WBA,TT,UHS,APA,NI,FOXA,HD,PPL,LYV,ORLY,CLX,DXCM,FANG,JPM
190,NTAP,ISRG,FE,COP,CTRA,NDSN,CRM,JNPR,HPQ,LNC,MCHP,BRKB,COST,ROP,INTC
191,EQR,TJX,IFF,AME,PH,FTV,FAST,LKQ,PXD,PTC,BIO,AJG,TXT,F,LMT
192,CF,CEG,CTLT,FB,ETN,BWA,NLOK,STT,NWSA,BIIB,WAB,PFG,PGR,JBHT,ANSS
193,CRL,BXP,FOX,LHX,XOM,BKNG,CVX,VRSN,MAS,HPQ,APD,BWA,KEY,CAT,FAST
194,HSY,COST,BIIB,MNST,STZ,RMD,GPN,AEP,ES,TER,AWK,ROK,ALK,AIG,EIX
195,AAL,RCL,URI,RF,CBRE,DLTR,RCL,FDX,NUE,TFC,ALLE,FMC,TYL,PENN,APD
196,BAX,NFLX,ECL,RSG,SHW,BXP,APD,ICE,LVS,AKAM,CE,IR,ABBV,KLAC,BKNG
197,CL,EPAM,OXY,LYV,HOLX,SWKS,HSIC,HWM,CAT,NOC,ATVI,FFIV,MKTX,GE,F
198,INCY,UAA,CNP,COO,PWR,SBUX,FITB,SPG,NRG,RCL,MU,EA,LMT,STZ,CNP
199,AMP,IP,KIM,HUM,PM,AJG,ISRG,CFG,MTB,JNJ,WYNN,XEL,AAPL,PLD,TWTR
200,CRM,FLT,HII,ENPH,FFIV,CRM,VTR,BIIB,CAT,CPT,SPGI,ROP,ETN,AVB,GLW
201,NDAQ,HIG,ABMD,APD,VLO,KMI,CVS,LHX,KMB,TWTR,AMP,TPR,FIS,LEN,ATO
202,CRL,ALK,GL,KEY,SO,BK,HII,WBD,BA,AMGN,ADM,PHM,BMY,WRK,ABC
203,V,PTC,ECL,CMA,LNC,QCOM,HST,WEC,CPRT,MAS,NI,TYL,LUV,BAC,ABT
204,FBHS,FANG,BWA,MGM,MO,ANET,PENN,BWA,COST,SHW,BMY,APA,SRE,CAH,HST
205,MRK,GE,ULTA,AAL,AMD,PEAK,A,TRMB,SJM,DE,GOOG,NSC,GE,MNST,SBAC
206,NWL,AME,LOW,ODFL,MKC,DPZ,VFC,AAPL,MCD,LLY,EMN,QRVO,MDLZ,BRKB,FITB
207,GD,CSCO,AMD,ED,DXCM,FFIV,VRSN,FDX,LRCX,LHX,ETR,IEX,SCHW,NI,GLW
208,CARR,DOV,EXR,HIG,TECH,HII,VRTX,RF,FRC,ATVI,PPL,CMA,TECH,WFC,MTCH
209,HPE,ZBH,HSIC,ADI,FRT,MRO,TER,JKHY,PVH,AKAM,SYK,CBRE,CB,PGR,SBAC
210,GNRC,FANG,ABMD,FLT,DE,PNW,ANSS,MRK,CTXS,ORCL,NDSN,CE,NVDA,VRTX,CI
211,DTE,IFF,FLT,UA,AAL,PNC,XEL,FBHS,LMT,MOS,PKG,WBA,CDNS,HON,FTNT
212,WRB,LKQ,GLW,LHX,O,BEN,PFE,NCLH,IR,PRU,EOG,ES,PVH,ETSY,HPQ
213,INTU,IPG,TECH,KMB,DD,XEL,UAA,ETN,CL,PEP,EIX,HWM,GRMN,STE,VTRS
214,PENN,AMGN,GM,DPZ,BBY,INCY,NLOK,EL,DRE,NRG,FTNT,TPR,FRT,NLSN,APTV
215,LUV,PAYC,IEX,FE,FDX,CL,ADSK,NTRS,ABBV,HUM,FRC,MA,BBWI,F,ABT
216,WMB,HON,LYB,VRTX,APH,DXCM,DTE,AMAT,VRSK,TJX,GD,SWKS,WDC,ROK,GPN
217,IP,EXC,CPT,BEN,KLAC,AES,ORCL,VMC,ADI,NWSA,ATO,ALLE,MO,WTW,LYB
218,TYL,AMAT,WRB,CPT,FAST,ANET,CTRA,MLM,FAST,TGT,STT,URI,QCOM,DVN,EPAM
